type;price;loc;kamar_tidur;luas_tanah;luas_bangunan;sertifikasi
Rumah Second;Rp395 Jt;Godean, Kab. Sleman;2 KT;LT 80m²;LB 45m²;SHM
Rumah Second;Rp5 M;Ngaglik, Kab. Sleman;12 KT;LT 650m²;LB 900m²;SHM
Rumah Second;Rp1,4 M;Ngaglik, Kab. Sleman;3 KT;LT 105m²;LB 90m²;SHM
Rumah Second;Rp720 Jt;Kalasan, Kab. Sleman;3 KT;LT 100m²;LB 63m²;SHM
Rumah Second;Rp299 Jt;Seyegan, Kab. Sleman;2 KT;LT 60m²;LB 30m²;HGB
Rumah Second;Rp575 Jt;Berbah, Kab. Sleman;3 KT;LT 97m²;LB 56m²;SHM
Rumah Second;Rp1,7 M;Tegalrejo, Kota Yogyakarta;3 KT;LT 188m²;LB 355m²;SHM
Rumah Second;Rp1,4 M;Ngaglik, Kab. Sleman;3 KT;LT 109m²;LB 115m²;SHM
Rumah Second;Rp1,4 M;Ngaglik, Kab. Sleman;3 KT;LT 110m²;LB 90m²;SHM
Rumah Second;Rp785 Jt;Godean, Kab. Sleman;3 KT;LT 110m²;LB 75m²;SHM
Rumah Second;Rp1,3 M;Ngaglik, Kab. Sleman;3 KT;LT 121m²;LB 100m²;SHM
Rumah Second;Rp1,7 M;Ngemplak, Kab. Sleman;4 KT;LT 169m²;LB 150m²;SHM
Rumah Second;Rp1,1 M;Ngemplak, Kab. Sleman;4 KT;LT 130m²;LB 120m²;SHM
Rumah Second;Rp233 Jt;Ngaglik, Kab. Sleman;2 KT;LT 60m²;LB 30m²;SHM
Rumah Second;Rp1,3 M;Kasihan, Kab. Bantul;3 KT;LT 85m²;LB 122m²;SHM
Rumah Second;Rp2,1 M;Ngaglik, Kab. Sleman;4 KT;LT 177m²;LB 135m²;SHM
Rumah Second;Rp585 Jt;Kalasan, Kab. Sleman;3 KT;LT 111m²;LB 55m²;SHM
Rumah Second;Rp650 Jt;Banguntapan, Kab. Bantul;2 KT;LT 79m²;LB 60m²;SHM
Rumah Second;Rp2,2 M;Sleman, Kab. Sleman;5 KT;LT 182m²;LB 177m²;SHM
Rumah Second;Rp575 Jt;Ngaglik, Kab. Sleman;2 KT;LT 96m²;LB 50m²;SHM
Rumah Second;Rp850 Jt;Banguntapan, Kab. Bantul;3 KT;LT 92m²;LB 105m²;SHM
Rumah Second;Rp476 Jt;Mlati, Kab. Sleman;2 KT;LT 112m²;LB 36m²;SHM
Rumah Second;Rp425 Jt;Kasihan, Kab. Bantul;2 KT;LT 107m²;LB 55m²;SHM
Rumah Second;Rp1,5 M;Depok, Kab. Sleman;3 KT;LT 94m²;LB 119m²;SHM
Rumah Second;Rp198 Jt;Playen, Kab. Gunung Kidul;2 KT;LT 72m²;LB 36m²;SHM
Rumah Second;Rp200 Jt;Playen, Kab. Gunung Kidul;2 KT;LT 72m²;LB 36m²;SHM
Rumah Second;Rp535 Jt;Berbah, Kab. Sleman;2 KT;LT 97m²;LB 45m²;SHM
Rumah Second;Rp785 Jt;Godean, Kab. Sleman;3 KT;LT 112m²;LB 75m²;SHM
Rumah Second;Rp495 Jt;Ngaglik, Kab. Sleman;2 KT;LT 112m²;LB 36m²;SHM
Rumah Second;Rp1,3 M;Ngemplak, Kab. Sleman;3 KT;LT 100m²;LB 100m²;SHM
Rumah Second;Rp785 Jt;Mlati, Kab. Sleman;3 KT;LT 110m²;LB 75m²;SHM
Rumah Second;Rp433 Jt;Sedayu, Kab. Bantul;2 KT;LT 82m²;LB 55m²;SHM
Rumah Second;Rp915 Jt;Banguntapan, Kab. Bantul;3 KT;LT 65m²;LB 160m²;SHM
Rumah Second;Rp1,4 M;Ngaglik, Kab. Sleman;5 KT;LT 120m²;LB 200m²;SHM
Rumah Second;Rp1,3 M;Ngemplak, Kab. Sleman;4 KT;LT 116m²;LB 140m²;SHM
Rumah Second;Rp200 Jt;Moyudan, Kab. Sleman;2 KT;LT 60m²;LB 30m²;SHM
Rumah Second;Rp799 Jt;Banguntapan, Kab. Bantul;3 KT;LT 119m²;LB 95m²;SHM
Rumah Second;Rp1,1 M;Ngemplak, Kab. Sleman;3 KT;LT 240m²;LB 90m²;SHM
Rumah Second;Rp395 Jt;Kasihan, Kab. Bantul;2 KT;LT 106m²;LB 50m²;SHM
Rumah Second;Rp985 Jt;Gamping, Kab. Sleman;3 KT;LT 96m²;LB 52m²;SHM
Rumah Second;Rp715 Jt;Gamping, Kab. Sleman;2 KT;LT 100m²;LB 65m²;SHM
Rumah Second;Rp1,5 M;Depok, Kab. Sleman;4 KT;LT 119m²;LB 165m²;SHM
Rumah Second;Rp1,2 M;Banguntapan, Kab. Bantul;4 KT;LT 99m²;LB 105m²;SHM
Rumah Second;Rp845 Jt;Ngemplak, Kab. Sleman;3 KT;LT 123m²;LB 75m²;SHM
Rumah Second;Rp1 M;Gamping, Kab. Sleman;2 KT;LT 103m²;LB 103m²;SHM
Rumah Second;Rp550 Jt;Mlati, Kab. Sleman;2 KT;LT 125m²;LB 80m²;SHM
Rumah Second;Rp160 Jt;Ngaglik, Kab. Sleman;1 KT;LT 20m²;LB 18m²;SHM
Rumah Second;Rp799 Jt;Ngemplak, Kab. Sleman;4 KT;LT 126m²;LB 90m²;SHM
Rumah Second;Rp775 Jt;Kalasan, Kab. Sleman;3 KT;LT 105m²;LB 70m²;SHM
Rumah Second;Rp380 Jt;Pajangan, Kab. Bantul;2 KT;LT 84m²;LB 50m²;SHM
Rumah Second;Rp5 M;Gamping, Kab. Sleman;7 KT;LT 1000m²;LB 300m²;HGB
Rumah Second;Rp550 Jt;Depok, Kab. Sleman;2 KT;LT 88m²;LB 45m²;SHM
Rumah Second;Rp380 Jt;Pajangan, Kab. Bantul;2 KT;LT 84m²;LB 58m²;SHM
Rumah Second;Rp585 Jt;Sleman, Kab. Sleman;2 KT;LT 112m²;LB 50m²;SHM
Rumah Second;Rp18 M;Ngaglik, Kab. Sleman;4 KT;LT 800m²;LB 600m²;HGB
Rumah Second;Rp1,2 M;Depok, Kab. Sleman;3 KT;LT 130m²;LB 100m²;SHM
Rumah Second;Rp4,5 M;Lendah, Kab. Kulon Progo;3 KT;LT 700m²;LB 700m²;SHM
Rumah Second;Rp3 M;Depok, Kab. Sleman;24 KT;LT 250m²;LB 300m²;SHM
Rumah Second;Rp585 Jt;Depok, Kab. Sleman;3 KT;LT 100m²;LB 56m²;SHM
Rumah Second;Rp5,8 M;Kasihan, Kab. Bantul;5 KT;LT 717m²;LB 500m²;SHM
Rumah Second;Rp385 Jt;Pajangan, Kab. Bantul;2 KT;LT 90m²;LB 50m²;SHM
Rumah Second;Rp1,4 M;Kalasan, Kab. Sleman;3 KT;LT 77m²;LB 100m²;SHM
Rumah Second;Rp925 Jt;Ngaglik, Kab. Sleman;4 KT;LT 120m²;LB 130m²;SHM
Rumah Second;Rp699 Jt;Depok, Kab. Sleman;11 KT;LT 135m²;LB 150m²;SHM
Rumah Second;Rp245 Jt;Kalasan, Kab. Sleman;2 KT;LT 75m²;LB 36m²;SHM
Rumah Second;Rp799 Jt;Ngaglik, Kab. Sleman;3 KT;LT 126m²;LB 90m²;SHM
Rumah Second;Rp1,5 M;Ngemplak, Kab. Sleman;3 KT;LT 110m²;LB 80m²;SHM
Rumah Second;Rp799 Jt;Ngemplak, Kab. Sleman;3 KT;LT 120m²;LB 85m²;SHM
Rumah Second;Rp2,2 M;Gamping, Kab. Sleman;5 KT;LT 150m²;LB 336m²;SHM
Rumah Second;Rp760 Jt;Ngaglik, Kab. Sleman;3 KT;LT 109m²;LB 100m²;SHM
Rumah Second;Rp430 Jt;Sedayu, Kab. Bantul;2 KT;LT 81m²;LB 36m²;SHM
Rumah Second;Rp600 Jt;Kasihan, Kab. Bantul;2 KT;LT 112m²;LB 40m²;SHM
Rumah Second;Rp1,9 M;Pakem, Kab. Sleman;3 KT;LT 240m²;LB 100m²;SHM
Rumah Second;Rp1,4 M;Ngaglik, Kab. Sleman;3 KT;LT 201m²;LB 201m²;SHM
Rumah Second;Rp1,4 M;Sleman, Kab. Sleman;3 KT;LT 77m²;LB 100m²;SHM
Rumah Second;Rp367 Jt;Godean, Kab. Sleman;2 KT;LT 60m²;LB 36m²;SHM
Rumah Second;Rp1,4 M;Umbulharjo, Kota Yogyakarta;18 KT;LT 450m²;LB 300m²;SHM
Rumah Baru;Rp 200 Jt;Patuk, Kab. Gunung Kidul;2 KT;LT 64m²;LB 39m²;HGB
Rumah Second;Rp2,5 M;Ngaglik, Kab. Sleman;4 KT;LT 190m²;LB 190m²;SHM
Rumah Baru;Rp 130 Jt;Playen, Kab. Gunung Kidul;2 KT;LT 60m²;LB 30m²;HGB
